book_id,title,author,edition,cost,status,released_date
164.0,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,21.0,Available,3/8/1962
165.0,My Antonia,Willa Cather,1995,6700.0,Available,5/25/1959
166.0,Pen Pals,Olivia Goldsmith,2002,213.0,Available,8/8/1995
167.0,Bridget Jones's Diary,Helen Fielding,1997,282.0,Available,8/15/1949
168.0,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,119.0,Available,7/18/1910
169.0,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,175.0,Available,4/24/1959
170.0,Skin And Bones,Franklin W. Dixon,2000,1582.0,Available,6/14/2015
171.0,LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys,Margret Rey,1998,32.0,Available,7/16/2000
172.0,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,1862.0,Available,5/26/1921
173.0,If Singleness Is a Gift,Margret Rey,1998,165.0,Available,4/26/2015
174.0,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,33.0,Available,8/24/1950
175.0,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,866.0,Available,4/29/1999
176.0,The Martian Chronicles,RAY BRADBURY,1984,3920.0,Available,6/19/2021
177.0,Kabale Und Liebe,Schiller,0,2838.0,Available,3/3/1963
178.0,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,59.0,Available,10/14/1965
179.0,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,76.0,Available,3/30/1928
180.0,Fahrenheit 451,Ray Bradbury,1994,1123.0,Available,7/11/1987
181.0,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,812.0,Available,10/23/1958
182.0,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,154.0,Available,2/11/2015
183.0,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,1168.0,Available,1/30/1982
184.0,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,3700.0,Available,4/14/1924
185.0,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,88.0,Available,12/10/1903
186.0,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,25.0,Available,5/21/2013
187.0,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,1801.0,Available,5/19/1961
188.0,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,573.0,Available,7/31/1936
189.0,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,3490.0,Available,10/8/1914
190.0,Die Klone der Joanna May. Roman.,Fay Weldon,1993,4157.0,Available,1/24/1957
191.0,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,18.0,Available,7/5/1994
192.0,Haifischfrauen.,Kiana Davenport,1996,697.0,Available,1/10/1922
193.0,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,5640.0,Available,5/6/1982
194.0,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,30.0,Available,10/9/1936
195.0,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,30.0,Available,2/23/1960
196.0,Die Korrekturen.,Jonathan Franzen,2002,502.0,Available,8/30/1985
197.0,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,5382.0,Available,3/26/2020
198.0,Hebt den Dachbalken hoch,Margret Rey,1998,,Available,3/14/1969
199.0,Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge,Margret Rey,1998,112.0,Available,8/31/1937
200.0,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,1653.0,Available,3/22/2010
201.0,Das Intimleben des Adrian Mole,Margret Rey,1998,36.0,Available,9/22/1971
202.0,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,2000,190.0,Available,7/19/1934
203.0,The God of Small Things,Arundhati Roy,1998,909.0,Available,4/2/2018
204.0,The James Dean Affair: A Neil Gulliver ; Stevie Marriner Novel,Robert S. Levinson,2000,26.0,Available,2/19/1991
205.0,The Big Bad Wolf: A Novel,James Patterson,2003,164.0,Available,7/8/1998
206.0,Four Blind Mice,James Patterson,2002,1182.0,Available,8/2/1973
207.0,Private Screening,Richard North Patterson,1994,147.0,Available,3/11/2000
208.0,Congo,Michael Crichton,1995,70.0,Available,1/5/1930
209.0,Protect and Defend,Richard North Patterson,2001,16.0,Available,6/25/1979
210.0,The Tall Pine Polka,Lorna Landvik,1999,405.0,Available,6/10/1933
211.0,Memoirs of a Geisha,Arthur Golden,1997,152.0,Available,5/11/1940
212.0,Plainsong (Vintage Contemporaries),KENT HARUF,2000,2641.0,Available,3/21/1954
213.0,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,1089.0,Available,12/19/1918
214.0,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,141.0,Available,8/7/1904
215.0,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,150.0,Available,8/1/1901
216.0,Petals on the River,Kathleen E. Woodiwiss,1997,1723.0,Available,12/8/1936
217.0,The Elusive Flame,Kathleen E. Woodiwiss,1999,55.0,Available,3/6/1910
218.0,Legacy of Silence,Belva Plain,1998,49.0,Available,4/15/1926
219.0,The Brethren,JOHN GRISHAM,2000,10.0,Available,1/4/1966
220.0,The King of Torts,John Grisham,2003,630.0,Available,4/1/1904
221.0,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,30.0,Available,9/15/1984
222.0,Bleachers,John Grisham,2003,68.0,Available,1/28/1986
223.0,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,,Available,9/5/1932
224.0,Only Love (Magical Love),Erich Segal,1998,130.0,Available,12/30/1907
225.0,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000,8.0,Available,1/27/1931
226.0,Roses Are Red (Alex Cross Novels),James Patterson,2001,650.0,Available,7/19/1923
227.0,The Rescue,Nicholas Sparks,2001,861.0,Available,11/6/2020
228.0,Manhattan Hunt Club,JOHN SAUL,2002,2182.0,Available,2/6/1972
229.0,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,925.0,Available,7/22/1942
230.0,Pet Sematary,Stephen King,1994,1789.0,Available,5/24/1935
231.0,Silent Snow,Steve Thayer,2000,2211.0,Available,8/23/1936
232.0,Girl with a Pearl Earring,Tracy Chevalier,2001,723.0,Available,12/13/2017
233.0,Summer of Storms,Judith Kelman,2002,38.0,Available,6/9/1943
234.0,The Patient,Michael Palmer,2001,5.0,Available,8/8/1949
235.0,Demona's Revenge (Gargoyles,Margret Rey,1998,25.0,Available,5/5/1948
236.0,Clifford's Sports Day,Norman Bridwell,1996,5100.0,Available,1/5/1914
237.0,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,1110.0,Available,8/5/1964
238.0,Deception Point,Dan Brown,2002,,Available,8/4/1939
239.0,Tis : A Memoir,Frank McCourt,1999,0.0,Available,10/5/1919
240.0,Angels ; Demons,Dan Brown,2003,1121.0,Available,4/27/1991
241.0,A Monk Swimming,Malachy McCourt,1998,67.0,Available,12/10/1974
242.0,Crazy Horse,Mari Sandoz,1961,1674.0,Available,1/5/1912
243.0,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,100.0,Available,5/25/1914
244.0,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,298.0,Available,11/15/1913
245.0,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,27.0,Available,7/12/1910
246.0,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,100.0,Available,12/19/1906
247.0,Life of Pi,Yann Martel,2002,21.0,Available,3/24/1949
248.0,A Judgement in Stone,Ruth Rendell,2000,2599.0,Available,6/19/1953
249.0,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,270.0,Available,8/9/2020
250.0,Secret History,DONNA TARTT,1993,652.0,Available,10/29/1993
251.0,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,879.0,Available,2/24/1906
252.0,Great Expectations (Heinemann Guided Readers),John Milne,1995,2191.0,Available,8/7/1971
253.0,The Weight of Water,Anita Shreve,2001,1810.0,Available,7/13/1920
254.0,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,329.0,Available,3/5/2022
255.0,Night Watch,Terry Pratchett,2002,16.0,Available,9/30/1939
256.0,Thief of Time,Terry Pratchett,2001,101.0,Available,1/9/1919
257.0,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,66.0,Available,2/6/2008
258.0,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,5558.0,Available,11/13/1961
259.0,My Friend Flicka,Mary O'Hara,1988,2013.0,Available,5/10/1911
260.0,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,541.0,Available,12/19/1922
261.0,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,12468.0,Available,8/30/1965
262.0,Maskerade: A Novel of Discworld (Pratchett,Margret Rey,1998,18.0,Available,12/16/2016
263.0,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,1083.0,Available,2/20/1955
264.0,On the Bright Side,Margret Rey,1998,441.0,Available,3/28/2001
265.0,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,305.0,Available,8/5/2022
266.0,The Wind in the Willows,Kenneth Grahame,1996,3217.0,Available,5/15/1991
267.0,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,135.0,Available,8/12/1976
268.0,Moonheart (Newford),Charles de Lint,1994,36.0,Available,5/8/1996
269.0,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,2118.0,Available,7/22/1939
270.0,Powder and Patch,Georgette Heyer,2004,1805.0,Available,9/10/1959
271.0,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,55.0,Available,2/25/1984
272.0,The Iron Giant,Ted Hughes,1999,160.0,Available,3/15/2009
273.0,James and the Giant Peach,ROALD DAHL,2002,626.0,Available,1/5/1963
274.0,The Amber Spyglass (His Dark Materials,Margret Rey,1998,495.0,Available,5/9/1979
275.0,The Golden Compass (His Dark Materials,Margret Rey,1998,,Available,1/10/1952
276.0,The Subtle Knife (His Dark Materials,Margret Rey,1998,6.0,Available,5/7/1991
277.0,The Adrian Mole Diaries : The Secret Diary of Adrian Mole,Margret Rey,1998,128.0,Available,9/11/1967
278.0,Martian Chronicles,Ray Bradbury,1997,1197.0,Available,8/8/1929
279.0,The Great God Pan,Donna Jo Napoli,2003,430.0,Available,4/25/1961
280.0,Possession: A Romance,A. S. Byatt,1990,,Available,4/17/1941
281.0,Born Confused,Tanuja Desai Hidier,2003,67.0,Available,5/30/1904
282.0,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,30.0,Available,3/1/1932
283.0,Making Minty Malone,Isabel Wolff,2000,1325.0,Available,9/15/1957
284.0,Little Women (Signet Classic),Louisa May Alcott,1988,1215.0,Available,8/22/1935
285.0,Emma (Signet Classics (Paperback)),Jane Austen,1996,,Available,7/7/1952
286.0,Animal Farm,George Orwell,2004,5900.0,Available,8/4/1939
287.0,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,292.0,Available,2/2/1940
288.0,Eva Luna,Isabel Allende,1989,935.0,Available,10/20/1989
289.0,Poisonwood Bible Edition Uk,Barbara Kingsolver,0,1039.0,Available,3/25/1919
290.0,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,645.0,Available,4/19/1933
291.0,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,685.0,Available,3/7/1919
292.0,Angels ; Insects : Two Novellas,A.S. BYATT,1994,34.0,Available,1/3/2018
293.0,Catch 22,Joseph Heller,1996,130.0,Available,2/15/1943
294.0,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,304.0,Available,12/25/1979
295.0,The Enchanted Wood,Enid Blyton,2002,70.0,Available,12/5/1968
296.0,The Folk of the Faraway Tree,Enid Blyton,2002,3730.0,Available,9/30/1967
297.0,Angels and Visitations: A Miscellany,Neil Gaiman,1993,860.0,Available,1/26/1965
298.0,League of Extraordinary Gentlemen,Margret Rey,1998,30.0,Available,1/7/1979
299.0,Preludes and Nocturnes (Sandman,Margret Rey,1998,145.0,Available,7/15/2009
300.0,The League of Extraordinary Gentlemen,Margret Rey,1998,1968.0,Available,1/22/1912
301.0,Harlequin Valentine,Neil Gaiman,2002,157.0,Available,5/20/1920
302.0,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,3030.0,Available,4/4/1973
